study_id,study_name,run,status
2988357,MPIO White Stork Donana,0,
3807090,NABU_Bergenhusen,0,
7431347,MPIO Argos white stork tracking (1991-2018),0,
8863543,HUJ MPIO White Stork E-Obs,0,
9493881,LifeTrack White Stork Uzbekistan,0,
9648615,LifeTrack White Stork Spain Donana,0,
10157679,LifeTrack White Stork Tunisia,0,
10236270,LifeTrack White Stork Armenia,0,
10449318,LifeTrack White Stork Loburg,0,
10449535,LifeTrack White Stork Greece Evros Delta ,0,
10596067,LifeTrack White Stork Moscow,0,
10763606,LifeTrack White Stork Poland,0,
21231406,LifeTrack White Stork SWGermany 2014-2018,0,
24442409,LifeTrack White Stork Bavaria,0,
25166516,LifeTrack White Stork Poland ECG,0,
74496970,MPIO white stork lifetime tracking data (2013-2014),0,
76367850,LifeTrack White Stork Rheinland-Pfalz,0,
79206236,LifeTrack White Stork Sicily,0,
170501269,Ciconia ciconia Sudewiesen,0,
173641633,LifeTrack White Stork Vorarlberg,0,
175720577,LifeTrack White Stork Kosova,0,
177380177,White Stork Ciconiidae Kizilirmak delta,0,
212096177,LifeTrack White Stork Oberschwaben 2014-2016,0,
321535327,Loburg-MPIO stork rehabilitation ,0,
332044860,Fall migration of white storks in 2014,0,
560041066,Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018),0,
128582918,White Stork in Spain - Migra Program in Spain,0,
682808477,Black Stork in Spain - Migra Program in Spain,0,
682828620,Bonelli's Eagle in Spain - Migra Program in Spain,0,
662814098,Red Kite in Spain - Migra Program in Spain,0,
10531951,Black Stork MPIAB Latvia,0,
11017705,Navigation and migration in European mallards (van Toor et al. 2013),0,
137262099,Aquila Chrysaetos (ID_PROG 579) Golden Eagle France/Central massif,0,failed
8868155,Osprey Bierregaard North and South America,1,
